tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
49053270700,76.76,87.74,11.23,90.65,0.43,98.37,23.76,58.75,47.08,92.71,50.69,90.82,32.85,16.38,33.36,5.23,70.24,36.79,27.36
49053270801,44.51,88.25,18.44,91.85,2.32,93.74,5.57,18.95,80.87,51.20,32.16,84.48,39.88,20.67,3.86,50.69,64.41,35.25,94.94
49053270802,71.44,91.17,17.41,84.65,3.34,98.89,30.96,24.79,90.65,80.53,6.43,42.11,27.36,85.68,3.34,4.03,74.01,61.66,54.63
49053270901,48.63,96.66,11.58,94.94,4.20,96.14,21.87,40.74,40.22,32.33,56.00,69.55,72.47,76.76,32.68,73.16,41.77,34.56,67.50
49053270902,53.60,94.08,10.89,89.28,3.69,90.14,7.46,10.89,54.29,47.94,51.89,53.60,53.26,22.73,25.81,44.34,17.92,18.10,20.84
49053271000,72.98,97.51,18.10,97.00,4.55,86.71,3.34,95.63,27.19,2.66,97.34,75.04,85.85,79.67,23.07,75.39,86.19,45.20,80.70
49053271100,60.63,86.88,10.72,91.17,1.11,96.83,51.54,9.52,90.99,88.08,25.47,50.69,23.93,89.62,3.69,2.32,86.71,30.79,83.96
49053271200,81.39,90.99,40.74,97.68,2.66,93.57,5.92,27.53,69.55,19.64,29.25,73.50,64.58,76.42,1.46,90.99,28.04,66.47,57.03
49053271300,90.14,84.48,31.99,98.54,1.97,87.39,4.89,27.19,43.65,98.03,75.90,97.68,60.63,64.24,59.43,97.34,96.31,5.06,37.82
49053271400,71.27,87.91,13.12,93.40,0.09,94.94,86.02,6.78,86.02,93.74,13.81,32.50,22.04,71.27,0.26,53.43,52.40,89.45,6.95
49053271500,54.80,89.97,17.58,95.28,1.29,96.66,13.81,52.92,62.35,49.83,38.68,84.31,34.22,14.49,20.15,53.77,34.56,25.99,50.00
49053271600,15.01,90.65,0.09,79.33,1.63,99.57,74.70,79.33,88.08,11.58,85.51,17.24,0.09,99.23,39.37,6.78,68.70,25.13,29.25
49053271701,12.44,86.54,22.04,86.36,1.46,97.34,10.72,9.86,81.90,82.93,77.79,27.53,4.03,80.19,8.15,5.06,86.36,60.63,43.83
49053271702,23.93,88.42,37.48,93.91,2.14,98.03,4.37,43.83,68.35,31.99,69.38,89.28,65.78,13.98,10.03,28.90,31.13,61.84,96.48
49053271800,57.72,90.48,2.32,90.48,3.17,99.23,26.50,76.93,91.85,55.15,57.72,55.32,8.66,17.41,52.92,1.46,6.60,16.21,43.65
49055979100,43.83,97.34,5.92,41.94,92.20,16.72,89.79,0.94,6.95,91.17,85.16,81.73,15.69,72.64,87.74,52.23,22.04,66.81,29.93
49057200100,67.15,64.58,60.81,40.22,16.90,15.87,90.14,62.18,76.24,52.57,22.73,3.17,28.04,23.93,30.62,74.53,55.49,4.72,22.73
49057200202,88.77,25.64,16.04,58.06,73.33,16.90,23.24,92.71,33.70,92.54,37.14,5.57,60.98,66.98,1.97,23.58,54.46,54.12,0.60
49057200203,89.62,40.74,65.61,33.88,15.01,13.98,82.25,45.71,79.33,7.29,29.93,24.61,82.42,66.12,9.52,36.96,77.96,21.36,8.49
49057200204,78.64,45.37,66.64,56.69,25.81,21.53,61.66,83.45,66.47,6.60,34.73,54.46,90.31,36.28,59.95,4.37,28.90,1.11,15.35
49057200300,91.51,72.81,40.22,17.58,11.23,8.15,38.16,96.83,56.86,7.46,26.33,67.50,79.50,90.99,30.27,32.16,45.54,2.49,3.17
49057200400,92.71,72.13,60.29,5.40,5.06,7.29,95.45,38.34,73.16,67.15,1.29,52.23,39.02,78.82,25.13,76.07,69.21,46.57,1.63
49057200500,84.13,37.14,50.00,11.75,7.46,23.93,96.66,70.24,74.53,84.82,22.90,69.04,60.46,7.63,66.64,16.72,87.22,49.83,0.43
49057200600,63.21,40.05,29.25,44.68,51.37,18.10,47.77,89.79,82.25,51.72,33.19,41.77,86.54,53.77,27.36,15.69,64.24,23.76,35.42
49057200700,42.97,34.39,17.07,47.08,56.86,19.81,45.37,85.51,64.24,56.86,14.84,56.69,58.92,19.13,59.61,35.42,78.99,50.17,12.95
49057200800,93.22,40.57,31.48,45.88,18.44,3.69,52.74,80.53,85.68,76.24,37.82,68.18,65.95,30.45,70.24,81.05,7.98,9.69,0.77
49057200900,97.68,63.04,32.33,54.97,10.72,5.75,91.34,87.39,59.26,68.01,14.49,75.73,67.32,83.10,32.85,97.86,90.14,98.71,25.64
49057201100,95.28,82.59,0.26,96.66,91.34,0.43,0.60,99.91,21.36,2.49,77.27,87.39,84.99,44.68,27.70,75.56,97.51,77.27,58.92
49057201200,98.54,63.72,16.55,74.01,43.48,5.40,14.32,99.06,24.61,62.69,49.66,43.48,68.18,98.89,22.38,82.76,89.79,0.60,2.66
49057201301,93.57,66.81,31.13,17.75,12.44,3.52,88.77,68.18,99.06,18.44,22.04,80.70,82.25,4.89,45.37,85.16,93.91,89.28,0.09
