tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
39035153105,OH,Cuyahoga County,41.46080148,-81.84996958,1,94.2,3906,6510.0,2.09,5.2,43.2,45.7,91.7,5.9,0.0,1.3,0.0,0.0,1.1,1.7,6.3,26.5,67.1,33134.0,7.6,10,2.56016385048643
39035153106,OH,Cuyahoga County,41.441826,-81.85667,1,92.3,3669,4586.25,2.5,4.7,37.9,49.9,94.2,0.0,0.0,1.9,0.0,1.4,2.5,9.0,5.5,24.4,70.1,32184.0,7.6,1,0.272553829381303
39035153107,OH,Cuyahoga County,,,1,92.4,3417,2010.0,2.06,5.8,43.1,50.5,93.3,2.2,0.3,0.2,0.0,0.8,3.2,3.2,3.6,20.3,76.2,35389.0,11.6,0,0
39035154100,OH,Cuyahoga County,,,1,92.3,2020,10100.0,2.64,15.4,32.7,43.9,52.2,42.7,0.0,0.3,0.0,3.5,1.4,7.0,6.8,38.2,55.0,26653.0,25.6,0,0
39035154200,OH,Cuyahoga County,,,1,88.7,1218,2436.0,2.04,10.0,37.8,51.1,56.4,43.3,0.0,0.0,0.0,0.0,0.3,2.7,7.5,36.5,56.0,25260.0,20.1,0,0
39035154300,OH,Cuyahoga County,,,1,84.5,1068,1525.71428571429,2.46,27.1,44.2,37.6,2.3,95.0,0.5,0.0,0.0,0.0,2.2,0.0,20.6,33.8,45.6,18631.0,27.2,0,0
39035154400,OH,Cuyahoga County,,,1,87.3,2970,3300.0,2.66,15.8,35.6,48.4,42.9,46.2,0.0,3.1,0.0,3.9,3.9,0.2,15.9,39.2,44.9,27841.0,20.7,0,0
39035154501,OH,Cuyahoga County,41.414952,-81.6172363,1,92.4,3285,3650.0,2.02,9.3,48.2,42.4,68.6,26.6,0.8,2.2,0.0,0.0,1.9,4.0,14.0,39.7,46.3,21477.0,25.1,5,1.5220700152207
39035154502,OH,Cuyahoga County,41.405945,-81.60068,1,91.5,3000,2307.69230769231,2.28,7.1,44.8,43.1,61.4,35.7,0.0,0.2,0.0,0.7,2.0,3.0,18.2,34.4,47.4,28895.0,9.2,1,0.333333333333333
39035154601,OH,Cuyahoga County,41.4214603083333,-81.5981046,1,90.0,4777,4777.0,2.47,10.2,37.4,49.7,60.5,33.4,1.2,0.0,0.0,0.5,4.4,0.7,12.8,36.0,51.1,27295.0,15.3,12,2.51203684320703
39035154603,OH,Cuyahoga County,,,1,89.6,3262,6524.0,2.46,7.3,38.8,45.5,63.3,34.4,0.0,0.0,0.0,0.3,2.1,3.3,14.6,38.2,47.3,24346.0,8.7,0,0
39035154604,OH,Cuyahoga County,,,1,93.9,4022,6703.33333333333,2.33,9.8,38.8,43.5,50.7,46.9,0.3,0.8,0.0,0.3,1.0,1.2,10.4,44.0,45.5,29603.0,9.4,0,0
