tract,state,county,avg_lat,avg_long,primary_ruca,perc_insured,total_pop,pop_density,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hawaii_pacific_race,other_race,multiple_races,hispanic_latino,ed_less_than_hs,ed_hs_grad,ed_college_plus,median_income,below_poverty,prov_count,prov_density
37009970300,NC,Ashe County,,,8,81.6,2488,30.0846432889964,2.35,5.2,49.0,50.0,97.8,0.0,0.4,0.0,0.0,0.6,1.2,1.5,26.0,38.1,35.9,16613.0,29.9,0,0
37009970400,NC,Ashe County,,,7,83.6,4495,139.164086687307,2.18,10.5,43.4,48.6,94.2,1.0,0.2,0.2,0.0,1.6,2.8,4.6,20.0,28.5,51.5,21134.0,26.0,0,0
37009970500,NC,Ashe County,36.420016518,-81.476552682,7,77.6,6439,154.412470023981,2.22,8.9,44.5,49.2,86.9,1.5,0.8,0.2,0.1,9.8,0.8,12.7,22.9,29.3,47.7,18337.0,26.9,5,0.776518092871564
37009970700,NC,Ashe County,,,8,88.3,6061,65.7375271149675,2.27,5.5,52.0,48.8,95.7,0.3,0.2,0.5,0.0,1.4,2.0,3.2,6.1,29.1,64.9,26021.0,9.3,0,0
37009970800,NC,Ashe County,,,8,89.3,4819,39.2746536267319,2.25,4.7,49.9,50.6,97.3,0.5,0.2,0.4,0.2,0.7,0.8,2.2,10.6,35.1,54.2,21026.0,14.0,0,0
37011930100,NC,Avery County,36.17722159,-81.84788126,10,88.5,3110,86.6295264623956,2.15,11.5,31.7,42.6,94.8,1.6,0.1,0.6,0.0,0.7,2.3,3.9,15.9,19.1,65.0,18947.0,16.9,1,0.321543408360129
37011930200,NC,Avery County,36.13012342,-81.82086105,10,88.3,2668,33.559748427673,2.0,20.8,52.1,49.9,96.3,2.5,0.6,0.0,0.0,0.0,0.6,3.4,11.1,24.5,64.4,21477.0,14.8,1,0.374812593703148
37011930301,NC,Avery County,36.081882,-81.924805,10,73.2,3354,94.7457627118644,2.13,4.8,47.1,52.2,96.4,1.3,0.0,0.0,0.0,0.0,2.4,8.5,19.8,29.2,51.1,19934.0,15.3,2,0.596302921884317
37011930302,NC,Avery County,,,10,78.5,2853,65.7373271889401,2.24,3.0,45.3,53.8,98.7,0.0,0.0,1.1,0.0,0.2,0.0,0.8,32.6,36.2,31.2,14921.0,23.0,0,0
37011930400,NC,Avery County,35.931435,-82.004166,7,82.3,5648,107.172675521822,2.49,4.7,42.0,65.5,82.2,8.8,1.2,0.6,0.0,5.6,1.6,6.5,23.2,33.9,42.9,17514.0,14.3,1,0.177053824362606
37013930100,NC,Beaufort County,,,10,86.0,5636,30.2036441586281,2.62,8.7,40.5,45.2,68.0,26.7,0.2,0.0,0.0,0.0,5.0,13.9,22.0,34.2,43.8,17494.0,19.3,0,0
37013930200,NC,Beaufort County,,,5,86.8,6325,45.5035971223022,2.66,15.7,41.2,50.8,75.1,22.8,0.0,0.0,0.0,0.0,2.1,8.9,15.9,31.3,52.7,21132.0,18.7,0,0
37013930300,NC,Beaufort County,35.54383,-77.05388,4,84.8,4051,1094.86486486486,2.12,16.7,42.0,47.9,49.7,48.2,0.0,0.0,0.0,1.7,0.4,10.1,21.5,36.6,41.9,18143.0,24.7,1,0.246852628980499
37013930400,NC,Beaufort County,35.5498404,-77.037988,4,92.2,4643,800.51724137931,2.39,8.4,43.8,42.2,50.0,43.1,0.5,0.5,1.0,0.8,4.1,10.9,14.5,29.7,55.7,18812.0,24.3,5,1.07688994184794
37013930501,NC,Beaufort County,35.495247,-76.972015,4,85.8,4612,623.243243243243,2.21,5.0,48.2,49.0,71.8,17.4,0.0,0.0,0.0,10.7,0.0,13.6,15.3,17.7,67.0,26961.0,9.2,1,0.216825672159584
37013930502,NC,Beaufort County,,,4,81.5,3818,196.80412371134,2.63,5.8,42.6,49.0,82.3,16.8,0.0,0.0,0.0,0.4,0.6,2.7,16.0,38.4,45.6,22896.0,17.9,0,0
37013930600,NC,Beaufort County,,,5,90.8,3524,57.0226537216829,2.5,1.4,46.2,51.2,93.2,5.5,0.0,0.9,0.0,0.0,0.4,0.9,7.2,32.5,60.3,28843.0,11.9,0,0
37013930700,NC,Beaufort County,,,5,89.8,2698,35.5467720685112,2.42,12.1,53.5,49.9,92.5,5.5,0.6,0.0,0.0,0.0,1.4,0.0,12.5,31.2,56.3,22270.0,9.7,0,0
37013930800,NC,Beaufort County,,,10,91.2,2712,20.1037805782061,2.74,9.2,48.6,44.4,57.3,40.0,0.0,0.0,0.1,0.0,2.6,0.1,13.5,46.5,40.0,22013.0,18.4,0,0
37013930900,NC,Beaufort County,,,5,91.8,4321,33.8901960784314,2.29,11.0,58.3,48.6,76.1,22.1,0.0,0.0,0.0,0.0,1.7,2.8,10.1,28.1,61.8,28089.0,10.4,0,0
37013931000,NC,Beaufort County,,,2,84.4,5173,79.340490797546,2.71,12.4,37.7,47.7,67.0,30.9,0.0,0.0,0.0,0.5,1.6,7.9,16.8,42.7,40.5,20267.0,23.2,0,0
37015960100,NC,Bertie County,,,9,88.2,5037,30.6760048721072,2.39,13.4,48.5,47.6,51.4,47.0,1.0,0.0,0.0,0.0,0.6,0.5,22.9,39.9,37.1,20263.0,16.1,0,0
37015960200,NC,Bertie County,,,9,87.7,4114,32.0155642023346,2.54,13.2,43.4,48.2,36.8,62.2,0.0,0.5,0.0,0.0,0.5,0.3,21.4,38.9,39.8,17105.0,20.3,0,0
