county,perc_insured,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hispanic_latino,poor_english,ed_hs_plus,ed_college_plus,median_income,below_poverty,lat,lon,prov_density
48225,84.2,2.39,4.9,44.5,53.6,68.5,25,0.1,0.4,10.6,4.2,82.4,45.4,19235,24.4,31.323036,-95.4216,0
48227,82.9,2.76,6.6,36.9,56.7,82.7,5.7,1.1,0.9,40.5,10.5,79.5,46.3,25078,14.9,32.303471,-101.438772,0.658924306
48229,72.1,3.17,5.6,40.1,50.1,78.7,1.3,0,1.3,78.4,45.9,52.2,26.9,13621,37.9,31.450868,-105.377549,1.43636886
48231,81,2.77,9.7,38.1,49.3,78.6,8.3,0.9,1.2,14.8,4.2,82.8,48.5,21730,18.9,33.123308,-96.08423,0.168410653
48233,83.5,2.74,4.9,36.5,49.8,88.9,2.3,1.2,0.6,22.2,4,84.9,54.4,24252,16.5,35.837047,-101.362746,0
48235,80,2.58,3.3,42.5,51.4,87.7,0,0,0,23.2,1.1,91.7,53.7,31672,11.7,31.303424,-100.981304,0
48237,81.1,2.5,4.7,40,56.8,92.7,4.5,0.4,0,15.9,7.9,78.9,37,24909,17.2,33.232161,-98.171176,0
48239,85.1,2.79,5.1,38.5,49,87.1,7.3,0.1,0.2,31.6,5.4,84,50.2,26264,13,28.959802,-96.58908,0
48241,81.2,2.91,10.4,40.4,48.8,78.7,16.6,0.3,0.7,6.5,2.2,86.9,40.4,22721,16.3,30.752932,-94.022294,0
48243,80.4,2.13,4.8,51.9,47.5,96.5,0.5,0.6,0.8,35.9,17.2,80.6,63.3,25865,8,30.621957,-104.191304,0.450247636
48245,78.5,2.52,7.3,36,51.1,58.4,33.9,0.4,3.5,19,8.7,83.2,50.1,24684,20,29.854,-94.149331,0.209491962
48247,78.1,3.26,18.4,36,49.9,97.6,0,0,0,90.1,18.6,74.9,40.6,16219,20.9,27.041212,-98.700127,0
48249,79,3.03,6.3,34.2,49,95.1,0.6,0.3,0.4,79.9,13.5,73.4,37.2,19957,20.7,27.733516,-98.090814,0.072313552
48251,80.7,2.87,6.3,36.8,49.8,91.7,2.5,0.6,0.8,19.8,5.4,83.8,50.8,29829,12.1,32.379821,-97.364959,0.050779465
48253,82.5,2.3,3.7,39,64.3,70,14.7,0.9,0.4,26.8,6.7,77.2,37.6,16831,16.7,32.743709,-99.87443,0.050140393
48255,85.6,2.83,4,35.8,59.6,62.1,9.1,0,0.1,52.2,9.7,76.5,39,25249,24,28.908996,-97.852205,0
48257,82.6,3.09,7,35.8,49.2,82.8,10.1,0.5,1,19.2,6.7,84.5,51.6,29057,13.7,32.598944,-96.288377,0.321917196
48259,91,2.87,4.7,43.4,48,93,0.8,0.4,0.8,22.4,4.2,93,68.8,31287,6.1,29.943525,-98.709269,0.205075622
48261,67.4,3.26,0,31.7,53.2,97.3,0,0,0.2,71.1,43.3,57.6,29.2,19044,22.8,26.890213,-97.591143,0
48263,88.3,2.17,2.1,48.6,48.3,93.3,0.6,1,0,17.4,4,78.3,48.6,26131,11.7,33.18478,-100.76972,0
48265,82.7,2.38,8.2,48,48.2,92,1.5,0.7,0.9,25.7,6.2,86.6,58.7,23197,16.7,30.059953,-99.353339,0.891000891
48267,75.6,2.07,6,54.5,48.6,93.1,0,0.2,0,22.6,8.5,83.1,49.1,22514,19,30.479472,-99.746396,0
48269,76.3,2.4,4.1,39.8,51.5,100,0,0,0,23.4,12.7,80.5,43.1,30583,3.3,33.614268,-100.245345,0
48271,77.2,2.82,14.4,43.5,59,97.8,0.1,0.1,0,62.5,17.5,67.2,39.2,17080,20.5,29.347086,-100.4177,0
48273,79.3,2.77,10.5,28,51.7,86.3,3.9,0.5,2,71.9,10.9,77.4,55.7,18803,23.8,27.438735,-97.66062,0
48275,82.4,2.66,5.4,41,50.9,86.7,7.1,0.7,0.1,32.4,9.6,80.2,46.7,21511,14.7,33.616657,-99.747112,0
48277,80.4,2.56,7,40.6,48.3,81.2,12.3,0.3,0.8,7.2,2.9,84.5,50.7,22266,19.9,33.667263,-95.570348,0.08060291
48279,79,2.77,4.7,36.3,50.7,87.8,5,0.3,0.5,54,11.2,74.1,43.1,21400,20.8,34.068861,-102.348018,0
48281,83.8,2.65,8.2,41.1,49,87.7,3.6,0.6,1,18.7,3.7,88.7,62.4,25692,13.7,31.196731,-98.240889,0.049123152
48283,74.6,3.04,8.4,33.1,57.9,79.2,1.3,0,0.1,83.7,27,63.7,28.2,20208,13.2,28.351098,-99.096774,0
48285,85.9,2.48,3.5,44.3,48.4,78.1,6.8,0,0.4,17.7,4.6,82.9,41.2,24616,10.4,29.382578,-96.923633,0.101760456
48287,85.4,2.7,6,41,50.5,80.1,11.5,0,0.5,23.1,7.5,82.3,45.3,25441,14.8,30.321078,-96.976321,0.179061717
48289,81.8,2.68,7.6,44.8,49.7,89.3,7.5,0.4,0.5,14,6.3,84.5,46.5,24583,16,31.300493,-95.995622,0
48291,79,2.81,9.2,36.2,49.6,81.6,10.3,0.3,0.7,20.7,6.9,76.2,37.1,25213,17.3,30.158451,-94.844078,0.03816891
48293,76,2.79,9.4,39.1,51.2,77.8,17.8,0.8,0.6,20.8,11.9,78.8,45.1,20455,22.2,31.547543,-96.593623,0.085218799
48295,82,2.8,5.8,34.8,54.1,85.7,0.5,0.8,0.4,29.2,8.7,80.2,46.6,30498,10.4,36.2802,-100.272683,0
48297,80,2.83,3.4,42.2,54.8,88.6,3,0.1,2.3,37.9,10.4,79.1,43.9,22995,15.9,28.351535,-98.126961,0
48299,82.2,2.21,7.7,56.4,48.5,94.7,1.3,0.1,0.3,9.6,2.9,86.5,59.7,22645,13.8,30.707584,-98.68469,0.101916021
48301,80.3,2.05,0,58.2,52.6,88.2,0,3.9,0,15.8,11.8,74.6,43.3,25179,16.4,31.844936,-103.561229,0
48303,84,2.59,5.4,30.6,49.4,79.9,7.2,0.8,2,33.9,5.4,85.2,59.7,23316,19.5,33.611469,-101.819944,0.437760026
48305,76.1,2.64,11.1,37.2,50.5,83,2.2,1.1,0.3,47.4,8.3,78,44.9,24207,19.8,33.178412,-101.818493,0
48307,79.5,2.61,4.2,43.9,50.7,82.5,2.4,3.4,0,31,5.8,77.5,45.4,22278,18.4,31.205477,-99.359856,0
