tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
21111011800,KY,Jefferson County,,,1,88.1,2512,1570.0,2.17,4.6,36.5,49.4,65.9,27.2,0.4,3.8,0.0,1.1,1.6,7.4,18.9,37.6,43.4,22991.0,10.9,0,0
21111011901,KY,Jefferson County,,,1,55.6,1021,425.416666666667,2.65,13.5,25.7,50.7,81.1,0.0,0.0,0.0,0.0,17.5,1.4,67.2,32.7,47.8,19.6,14457.0,52.3,0,0
21111011904,KY,Jefferson County,,,1,94.6,2496,2496.0,2.51,7.6,39.0,51.3,86.1,11.1,0.0,0.0,0.0,0.0,2.8,26.8,9.8,40.6,49.6,18792.0,25.2,0,0
21111011905,KY,Jefferson County,38.137733,-85.68633,1,87.1,7375,3511.90476190476,2.59,6.7,33.8,45.6,79.0,9.4,0.2,2.0,0.0,0.6,8.8,8.6,10.3,38.0,51.7,26110.0,19.3,1,0.135593220338983
21111011906,KY,Jefferson County,,,1,88.5,3282,2735.0,2.15,16.1,34.3,48.2,61.7,29.9,0.0,0.0,0.0,4.8,3.7,26.1,17.2,41.8,41.0,20426.0,37.8,0,0
21111011907,KY,Jefferson County,,,1,94.4,4701,3616.15384615385,2.47,3.1,46.7,49.1,87.7,6.6,0.4,4.0,0.0,0.0,1.3,2.4,11.2,36.6,52.2,26231.0,7.9,0,0
21111012001,KY,Jefferson County,,,1,89.9,3251,471.159420289855,2.7,9.8,41.5,52.7,95.2,1.2,0.0,0.4,0.0,0.5,2.7,6.7,20.8,40.7,38.5,21806.0,17.3,0,0
21111012002,KY,Jefferson County,,,1,80.1,5974,1757.05882352941,2.74,4.9,36.4,46.1,91.2,3.9,0.0,0.0,0.0,3.6,1.3,18.5,25.6,41.9,32.6,21798.0,22.8,0,0
21111012003,KY,Jefferson County,,,1,89.8,3773,207.307692307692,2.9,7.0,34.5,49.3,88.5,3.9,0.0,0.0,0.0,1.0,6.6,12.3,14.1,41.3,44.6,24824.0,20.6,0,0
21111012103,KY,Jefferson County,,,1,91.1,2942,1050.71428571429,2.56,9.3,43.7,51.1,95.9,2.9,0.2,0.3,0.0,0.0,0.7,2.4,9.6,49.3,41.1,26544.0,9.7,0,0
21111012104,KY,Jefferson County,,,1,85.5,3728,690.37037037037,2.61,8.7,35.8,44.7,86.4,11.2,0.0,0.0,0.0,0.0,2.5,0.9,25.3,43.5,31.1,18871.0,24.0,0,0
21111012105,KY,Jefferson County,38.1142520733333,-85.8384556666667,1,91.1,4407,2592.35294117647,2.38,5.4,43.2,45.0,87.7,3.8,0.0,1.4,0.0,3.4,3.7,5.1,12.4,37.1,50.4,27768.0,7.3,3,0.68073519400953
21111012106,KY,Jefferson County,,,1,93.4,8021,3819.52380952381,2.8,6.3,38.1,48.0,90.9,6.9,0.0,0.1,0.0,0.5,1.5,3.6,9.3,33.1,57.5,30085.0,5.2,0,0
21111012107,KY,Jefferson County,,,1,89.6,5372,1451.89189189189,2.6,3.9,36.7,46.4,96.0,1.5,0.0,0.2,0.0,0.5,1.8,4.7,17.4,44.5,38.1,24118.0,19.2,0,0
21111012202,KY,Jefferson County,,,1,88.8,6936,3468.0,2.62,9.1,38.0,43.3,66.6,20.8,0.0,4.2,0.0,1.3,7.1,3.7,21.3,47.5,31.2,23456.0,19.3,0,0
21111012203,KY,Jefferson County,,,1,94.2,6406,1455.90909090909,2.59,6.3,46.5,46.7,85.7,9.1,0.6,2.9,0.0,0.1,1.6,0.4,8.3,40.1,51.7,27281.0,8.0,0,0
21111012204,KY,Jefferson County,,,1,91.9,3828,1367.14285714286,2.28,2.7,43.1,46.6,90.0,8.8,0.0,0.0,0.0,0.0,1.2,1.7,9.4,36.2,54.4,30165.0,11.1,0,0
21111012301,KY,Jefferson County,,,1,90.6,3626,5180.0,2.72,11.4,41.5,47.8,82.8,15.4,0.0,0.0,0.0,0.0,1.8,9.8,12.9,37.3,49.9,30877.0,8.7,0,0
21111012302,KY,Jefferson County,,,1,86.2,5247,2761.57894736842,2.29,10.2,37.3,51.1,70.9,21.8,0.0,2.2,0.0,0.0,5.1,4.9,6.0,38.9,55.1,24554.0,14.3,0,0
21111012406,KY,Jefferson County,,,1,94.4,5421,4517.5,2.39,2.5,40.2,53.2,95.4,3.2,0.0,1.1,0.0,0.3,0.0,3.1,12.6,43.9,43.5,26052.0,9.7,0,0
21111012407,KY,Jefferson County,,,1,94.8,5458,3032.22222222222,2.87,10.6,37.6,49.2,77.6,17.4,0.0,0.0,3.0,0.4,1.6,1.3,8.8,39.3,51.8,27444.0,10.0,0,0
21111012408,KY,Jefferson County,,,1,93.8,2326,3322.85714285714,2.47,2.7,43.4,51.4,80.2,15.7,0.0,0.2,0.0,0.7,3.1,4.2,15.4,42.2,42.4,26809.0,6.5,0,0
21111012409,KY,Jefferson County,,,1,94.4,3314,3314.0,2.67,6.9,38.1,49.5,91.8,4.3,0.4,0.0,0.0,1.2,2.3,5.0,18.7,39.1,42.2,22177.0,15.4,0,0
21111012410,KY,Jefferson County,,,1,91.2,4097,5121.25,2.27,5.0,46.0,45.8,88.4,11.2,0.0,0.4,0.0,0.0,0.0,1.5,9.8,43.1,47.1,25117.0,6.0,0,0
21111012411,KY,Jefferson County,,,1,95.1,7262,3631.0,2.93,10.3,35.0,45.6,79.1,18.9,0.0,0.0,0.0,0.9,1.1,1.8,10.1,40.7,49.2,28847.0,9.0,0,0
21111012501,KY,Jefferson County,,,1,82.1,2656,4426.66666666667,2.09,11.0,41.5,46.0,68.9,24.1,0.0,2.0,0.0,0.2,4.8,9.5,14.0,37.6,48.3,22839.0,25.3,0,0
21111012502,KY,Jefferson County,38.1664401,-85.82945742,1,90.5,5683,2991.05263157895,2.41,11.0,35.6,51.4,80.7,12.0,0.0,0.0,0.0,0.0,7.3,7.1,18.4,33.5,48.0,22407.0,27.2,1,0.175963399612881
21111012503,KY,Jefferson County,,,1,89.2,3954,3954.0,2.55,11.7,34.2,49.5,75.6,19.9,0.0,0.3,0.0,0.0,4.1,0.3,14.8,42.7,42.4,25087.0,16.9,0,0
21111012601,KY,Jefferson County,38.1943882675,-85.810379145,1,93.1,7110,4182.35294117647,2.33,5.8,44.2,46.9,30.4,65.8,0.0,2.3,0.0,0.3,1.3,4.4,14.8,36.4,48.9,25756.0,17.9,4,0.562587904360056
21111012603,KY,Jefferson County,38.19019639,-85.80549823,1,91.1,2942,4202.85714285714,2.48,13.0,37.2,47.7,42.8,54.6,0.0,0.0,0.0,0.0,2.6,0.6,19.2,43.2,37.6,18009.0,24.6,3,1.01971447994562
