county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
51610,98.12,29.70,21.43,9.40,53.76,26.69,67.29,95.86,97.37,38.72,25.19,11.65,97.37,83.83,84.59,19.92,64.29
51620,16.17,95.11,4.89,5.64,4.14,3.38,4.89,59.02,87.59,24.44,25.94,53.01,1.13,69.55,88.35,77.07,8.65
51630,82.33,79.32,56.77,8.65,25.19,58.27,78.57,4.14,74.06,4.89,73.31,13.91,23.68,60.53,25.19,11.65,98.87
51640,24.44,60.53,97.37,56.02,46.24,65.79,62.78,95.11,0.38,0.38,0.38,35.71,93.61,87.59,11.65,5.64,43.98
51650,60.53,92.86,2.63,11.65,42.48,28.95,57.52,38.72,41.73,36.47,85.34,47.74,17.67,25.19,19.17,21.43,16.92
51660,78.57,89.85,98.12,7.14,64.29,93.61,85.34,0.38,7.89,8.65,8.65,71.80,98.87,34.96,34.96,98.12,7.14
51670,35.71,92.11,37.22,22.93,23.68,35.71,28.95,42.48,69.55,13.91,1.13,50.75,36.47,96.62,4.14,55.26,97.37
51678,52.26,45.49,77.82,4.14,98.12,95.11,98.87,1.88,68.05,16.92,65.79,67.29,0.38,65.79,99.62,42.48,23.68
51680,50.75,75.56,54.51,3.38,47.74,91.35,76.32,8.65,38.72,78.57,68.80,13.16,32.71,18.42,41.73,78.57,39.47
51683,93.61,97.37,98.87,98.12,36.47,86.09,4.14,34.21,3.38,1.13,44.74,31.20,13.91,52.26,92.11,1.13,14.66
51685,95.86,98.12,99.62,98.87,86.09,13.91,16.17,76.32,1.13,7.89,81.58,75.56,13.16,8.65,26.69,80.83,7.89
51690,4.89,88.35,49.25,22.18,6.39,27.44,63.53,83.83,34.21,59.77,80.08,1.88,43.98,17.67,81.58,9.40,55.26
51700,66.54,91.35,23.68,13.91,53.01,39.47,59.77,34.96,19.17,23.68,84.59,59.77,11.65,63.53,16.17,35.71,83.83
51710,56.77,95.86,28.95,18.42,89.85,71.05,62.03,28.95,55.26,43.23,99.62,88.35,65.79,70.30,53.76,17.67,75.56
51720,14.66,49.25,88.35,1.88,5.64,92.11,37.97,96.62,96.62,6.39,24.44,63.53,62.03,23.68,78.57,20.68,62.03
51730,6.39,98.87,16.17,16.92,7.89,7.89,61.28,56.02,88.35,62.03,5.64,2.63,77.07,5.64,10.90,31.20,36.47
51735,89.85,1.88,6.39,23.68,80.08,30.45,19.92,46.24,5.64,25.94,36.47,86.84,86.09,97.37,67.29,86.09,57.52
51740,41.73,94.36,7.89,19.92,38.72,32.71,24.44,35.71,63.53,43.98,72.56,51.50,33.46,77.82,42.48,46.99,56.02
51750,31.95,68.05,89.10,1.13,92.11,98.87,53.01,1.13,53.01,56.02,58.27,80.08,99.62,4.89,46.99,52.26,83.08
51760,42.48,96.62,40.23,12.41,19.17,59.77,89.10,28.20,64.29,52.26,87.59,9.40,74.06,44.74,83.08,83.83,37.22
51770,40.98,76.32,74.81,21.43,25.94,70.30,82.33,63.53,40.98,62.78,89.10,7.89,47.74,13.91,6.39,59.77,80.08
51775,62.03,15.41,47.74,16.17,37.22,68.05,65.79,65.79,24.44,28.20,64.29,12.41,1.88,53.76,16.92,58.27,13.91
51790,56.02,31.95,51.50,25.19,4.89,64.29,91.35,21.43,62.03,53.76,49.25,15.41,31.95,29.70,68.05,27.44,86.09
51800,64.29,77.82,1.88,24.44,69.55,24.44,6.39,47.74,10.15,73.31,55.26,24.44,42.48,74.81,43.23,50.75,37.97
51810,90.60,63.53,20.68,10.90,79.32,66.54,37.22,71.05,4.89,70.30,92.86,96.62,8.65,91.35,61.28,13.91,87.59
51820,57.52,50.75,79.32,54.51,16.92,25.94,83.83,16.17,47.74,50.75,92.11,21.43,28.95,74.06,13.91,10.15,50.00
51830,80.08,69.55,33.46,0.38,29.70,96.62,74.81,7.14,27.44,5.64,3.38,99.62,7.89,54.51,95.86,2.63,19.17
51840,83.08,72.56,96.62,88.35,20.68,54.51,92.11,6.39,65.79,2.63,43.98,29.70,19.17,39.47,87.59,71.80,74.81
