county,Latitude,Longitude,% Insured,Population,Avg. Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-Race,% Hispanic/Latino,% Education < HS,% HS Grad or Higher,% Some College or Higher,Median Income,% Poverty,MH Provider Count, MH Providers per 1000 Pop.
38085,46.11243068,-100.6930028,71.4,4431,3.96,19.7,26.9,50.2,12.8,0,83.9,0.1,0,0.5,2.7,3.7,14.3,32.2,53.5,21580,38,2,0.45136538
38087,,,92.3,665,2.17,0,52.1,54.3,93.5,4.8,0,0,0,0,1.7,0.3,11.4,27.8,60.8,27917,10.1,0,0
38089,46.90171269,-102.8149923,90.3,29837,2.5,3.2,34.5,52.1,92.4,1.6,0.9,1.4,0.1,1.4,2.2,5,9.4,30.8,59.9,37110,6.8,10,0.335154339
38091,,,95.1,1969,2.09,4.1,49.8,52.2,99.4,0,0,0,0,0.6,0,2.1,5.9,29.8,64.3,35093,6.1,0,0
38093,46.90405167,-98.70753224,91.9,21108,2.13,2.6,40.2,51.2,93.9,1,1.4,0.5,0.1,0.8,2.4,2.1,10.1,34.4,55.4,30438,10.8,31,1.468637483
38095,,,90.3,2292,2.3,5.2,47.8,49.8,88.1,0,3.5,0.3,0,0.2,7.8,2.3,7.7,33.3,59,30150,14.1,0,0
38097,,,95.6,8075,2.32,2.6,41,50.4,95.1,0.9,0.9,0.2,0.1,1,1.6,3.2,7.8,26.2,66,31516,8.3,0,0
38099,48.41803306,-97.42026274,92.5,10995,2.19,3.3,45.2,51.3,91.1,0.3,2.1,0.7,0,4.6,1.2,10.8,13.1,36.7,50.2,29044,10.6,2,0.181900864
38101,48.23486911,-101.298389,91.8,68954,2.48,2.4,31.1,52.4,88.3,3.4,1.6,1.3,0.1,1.5,3.8,5.2,6.7,29.9,63.5,32188,7.3,39,0.565594454
38103,,,94,4179,2.01,2.2,51.8,49.8,98,0,0.4,0,0,0.2,1.5,0.9,15.2,33,51.8,26966,5.2,0,0
38105,48.20190942,-103.4959768,90.5,31643,2.5,2,32,54.9,87.6,2.8,2.7,0.3,0.1,1.8,4.6,5.3,7.7,28.4,63.9,42078,9.8,5,0.158012831
39001,38.8492795,-83.547994,87.3,28111,2.55,9.9,42.1,49.7,97.1,0.4,0.4,0.2,0,0.1,1.9,0.5,21.8,45.7,32.6,19803,24.5,6,0.213439579
39003,40.74267115,-84.11633585,90.9,104664,2.51,7.6,38.2,50.5,83.4,11.9,0.2,0.7,0,0.7,3.1,2.7,10.7,38.9,50.4,23007,16.1,43,0.410838493
39005,40.86093644,-82.29164115,88.9,53343,2.51,5.7,40,48.8,97,0.7,0,0.6,0,0.3,1.4,1.2,12.6,43.1,44.3,24162,15.4,8,0.149972817
39007,41.85352313,-80.77795808,89,99175,2.47,8.1,42.2,50.3,93,3.5,0.2,0.4,0,0.5,2.4,3.9,14.6,44.3,41.1,22140,19.6,33,0.332745147
39009,39.33365561,-82.11516036,92.4,65103,2.48,9.4,28.2,49.9,91,2.5,0.3,3.1,0,0.5,2.6,1.8,10.3,32.9,56.8,13128,31.2,69,1.059858993
39011,40.52137453,-84.32454801,94.5,45871,2.49,4,41.2,49.8,97,0.4,0.2,0.6,0,0.6,1.1,1.4,7.2,44.6,48.1,28866,8.8,9,0.196202394
39013,40.08493878,-80.89294683,91.5,69228,2.35,7.8,44.1,51,93.5,4.1,0.3,0.4,0,0.4,1.3,0.8,10.1,42.4,47.5,22046,15.1,42,0.606690934
39015,38.9290209,-83.90349992,89.8,44059,2.55,8,41.1,49.6,97.1,1,0.1,0.2,0,0.3,1.2,0.8,14.7,47.7,37.6,24162,16.7,9,0.204271545
39017,39.38556177,-84.49477078,92.2,373638,2.68,6.1,36.5,49,85.8,7.8,0.2,2.7,0.1,1,2.4,4.4,10.3,33.3,56.3,28366,13.6,185,0.495131651
39019,40.57999013,-81.0807839,88.4,28108,2.54,6.7,44.7,49.9,97.2,0.8,0.1,0.3,0,0.3,1.3,1.2,13,47.8,39.2,25161,14,3,0.10673118
39021,40.11578403,-83.72697871,93.1,39175,2.53,7.2,41.6,50,94.4,1.7,0.1,0.5,0.1,0.5,2.8,1.5,10.9,45.4,43.8,27114,11.2,13,0.331844288
39023,39.93426959,-83.81467447,91.5,136175,2.43,8.9,41.2,48.4,86.4,8.2,0.2,0.7,0.1,0.9,3.4,3.1,12.8,37.1,50,24077,17.9,38,0.27905269
39025,39.1028606,-84.23704425,92.7,201092,2.65,5,39.7,49.3,95.4,1.3,0.2,1.1,0,0.4,1.6,1.7,10.4,33.5,56.1,30403,10.5,45,0.223778171
39027,39.44061701,-83.85496164,91.4,41854,2.53,6.6,39.4,49.6,94.5,2.4,0.1,0.3,0,0.3,2.3,1.6,11.5,42.2,46.3,24586,15.2,7,0.167248053
39029,40.73072889,-80.67329298,90.2,105230,2.43,8.4,43.4,50.3,95,2.3,0.1,0.3,0,0.7,1.6,1.5,12.4,45.4,42.3,22746,15.8,20,0.190059869
39031,40.30013165,-81.9032861,87.1,36665,2.51,6.4,41.2,49.7,96.9,1,0.2,0.3,0,0,1.5,0.9,14.3,49.3,36.5,22574,14,2,0.054547934
39033,,,91.7,42485,2.38,7.7,42.9,48.9,96.9,0.6,0,0.4,0,0.3,1.7,1.4,11.5,45.8,42.6,23458,15.7,0,0
39035,41.47141375,-81.63167375,91.8,1258710,2.3,9.7,40.4,47.6,63.2,29.7,0.3,2.8,0,1.3,2.6,5.4,11.5,28.3,60.2,26102,18.5,1464,1.16309555
39037,40.09046075,-84.62385232,92.3,52185,2.47,6.1,42,49.1,97.7,0.7,0.3,0.3,0,0.2,0.8,1.4,11.1,48.5,40.4,25192,12.4,11,0.210788541
39039,41.28641871,-84.40829524,90.9,38488,2.46,6.8,39.9,49.8,91.7,1.9,0.4,0.4,0,3.5,2.1,9.5,10.2,44.6,45.3,25705,13.6,13,0.337767616
39041,40.20010461,-83.01619272,95.9,188996,2.8,2.7,38,49.4,88.8,3.5,0.1,5.1,0,0.5,2,2.4,3.4,20.5,76.2,42406,4.9,70,0.370378209
39043,41.42238974,-82.65987601,91.8,75808,2.35,7.7,44.5,48.9,86.4,8,0.5,0.6,0.1,0.9,3.5,4,9.4,38.3,52.3,26426,12.8,30,0.395736598
39045,39.77174554,-82.65352111,93.4,150163,2.67,6,39.3,49.8,89,6.7,0.1,1.3,0,0.4,2.3,2,8.3,33.8,57.9,28907,10.2,41,0.273036634
39047,39.54756008,-83.44039032,89.9,28719,2.42,6.9,41.3,49.1,94.2,2,0.1,0.8,0,0.6,2.3,1.9,12.6,49.4,38,23916,18.6,6,0.208920923
